player_name,agent_pick_rate,entry_attempts_per_round,deaths_first_20s,kd_by_site,duel_win_pct,headshot_pct,first_kill_rate,dmg_per_round,clutch_rate,post_plant_kd
Dantedeu5,0.224,0.497,0.0,0.702,0.341,0.347,0.102,74.282,0.75,0.702
Mazino,0.291,0.691,0.0,0.983,0.461,0.443,0.078,98.645,1.0,0.983
Melser,0.252,0.632,0.0,0.841,0.449,0.464,0.053,78.234,0.875,0.841
Shyy,0.35,0.682,0.0,1.105,0.504,0.487,0.069,100.707,1.0,1.105
keznitdeuS,0.318,0.735,0.0,1.107,0.517,0.445,0.14,117.896,1.0,1.107
