player_name,agent_pick_rate,entry_attempts_per_round,deaths_first_20s,kd_by_site,duel_win_pct,headshot_pct,first_kill_rate,dmg_per_round,clutch_rate,post_plant_kd
Lz,0.256,0.572,0.0,0.832,0.433,0.662,0.077,80.979,1.0,0.832
gobera,0.213,0.595,0.0,0.733,0.4,0.499,0.048,85.126,1.0,0.733
pryze,0.294,0.663,0.0,0.931,0.432,0.377,0.048,96.227,0.8,0.931
silentzz,0.283,0.65,0.0,1.147,0.508,0.509,0.116,100.496,1.0,1.147
spikeziN,0.349,0.681,0.0,0.929,0.493,0.512,0.18,117.168,1.0,0.929
