player_name,agent_pick_rate,entry_attempts_per_round,deaths_first_20s,kd_by_site,duel_win_pct,headshot_pct,first_kill_rate,dmg_per_round,clutch_rate,post_plant_kd
N4RRATE,0.317,0.732,0.0,1.139,0.53,0.465,0.124,111.306,1.0,1.139
Zellsis,0.258,0.715,0.0,1.06,0.488,0.428,0.071,98.265,0.909,1.06
bang,0.433,0.678,0.0,1.163,0.535,0.57,0.094,98.938,1.0,1.163
johnqt,0.309,0.734,0.0,1.111,0.544,0.462,0.053,95.492,1.0,1.111
zekken,0.321,0.728,0.0,1.285,0.546,0.459,0.223,119.265,1.0,1.285
