series_id,map,team_name,avg_round_duration,early_utility_rate,pistol_conv,site_hit_freq,trade_eff,total_rounds,series_duration
2819680,bind,NRG,112.7776,0.375,1.0,0.4166666666666667,0.5877192982456141,40,6330.884
2819685,haven,NRG,116.79297435897436,0.15384615384615385,1.0,0.7916666666666666,0.41496598639455784,39,6444.814
2819689,lotus,NRG,107.75431428571429,0.12857142857142856,1.0,0.7878787878787878,0.40408163265306124,70,11102.95
2819695,lotus,NRG,117.69966666666667,0.35294117647058826,0.0,0.7692307692307693,0.4176470588235294,51,8304.878
2819700,sunset,NRG,117.35687719298245,0.2631578947368421,1.0,0.5,0.5194174757281553,57,10001.512
2843063,corrode,NRG,102.85022388059701,0.208955223880597,1.0,0.7142857142857143,0.4439461883408072,67,10373.439
2843067,ascent,NRG,118.33649999999999,0.16666666666666666,1.0,0.8333333333333334,0.32857142857142857,30,5208.192
2843069,haven,NRG,115.98304918032787,0.32786885245901637,0.0,0.7307692307692307,0.46638655462184875,61,10407.823
2843070,lotus,NRG,126.25582352941177,0.16470588235294117,1.0,0.825,0.46357615894039733,85,15786.861
2843071,bind,NRG,111.47792647058823,0.22058823529411764,1.0,0.6285714285714286,0.4888888888888889,68,11153.205
