series_id,map,team_name,avg_round_duration,early_utility_rate,pistol_conv,site_hit_freq,trade_eff,total_rounds,series_duration
2775988,split,Sentinels,117.16472727272728,0.25757575757575757,1.0,0.6,0.5,66,11096.895
2775991,lotus,Sentinels,162.9473409090909,0.3181818181818182,1.0,0.75,0.4817073170731707,44,9192.432
2775994,haven,Sentinels,116.60057777777777,0.15555555555555556,0.0,0.6222222222222222,0.4414715719063545,90,15604.417
2819681,corrode,Sentinels,116.49177272727273,0.19696969696969696,1.0,0.75,0.3406113537117904,66,11216.662
2819683,sunset,Sentinels,119.7398,0.03333333333333333,0.0,0.8823529411764706,0.4172661870503597,30,5146.115
2819690,lotus,Sentinels,107.055375,0.45,0.0,0.8888888888888888,0.5724137931034483,40,6918.36
2819696,lotus,Sentinels,128.34184210526314,0.4473684210526316,1.0,0.6428571428571429,0.3860759493670886,38,6749.084
2819703,sunset,Sentinels,101.53501785714286,0.17857142857142858,0.0,0.8275862068965517,0.4492753623188406,56,8844.472
2843062,corrode,Sentinels,121.24891176470588,0.2647058823529412,1.0,0.75,0.4759825327510917,68,11733.258
2843068,bind,Sentinels,124.52611627906975,0.27906976744186046,1.0,0.6818181818181818,0.5034965034965035,43,7880.217
2843070,lotus,Sentinels,126.25582352941177,0.18823529411764706,1.0,0.7555555555555555,0.4628975265017668,85,15786.861
