player_name,agent_pick_rate,entry_attempts_per_round,deaths_first_20s,kd_by_site,duel_win_pct,headshot_pct,first_kill_rate,dmg_per_round,clutch_rate,post_plant_kd
Verno,0.222,0.64,0.0,0.873,0.445,0.456,0.058,89.99,1.0,0.873
artzin,0.264,0.637,0.0,0.83,0.444,0.446,0.095,93.712,1.0,0.83
aspas,0.23,0.696,0.0,1.205,0.542,0.472,0.19,114.796,1.0,1.205
cortezia,0.373,0.691,0.0,1.156,0.504,0.586,0.071,98.811,1.0,1.156
xenom,0.339,0.637,0.0,0.991,0.482,0.564,0.067,85.967,1.0,0.991
