player_name,agent_pick_rate,entry_attempts_per_round,deaths_first_20s,kd_by_site,duel_win_pct,headshot_pct,first_kill_rate,dmg_per_round,clutch_rate,post_plant_kd
Heat,0.202,0.669,0.0,0.818,0.43,0.481,0.087,97.447,1.0,0.818
Palla,0.247,0.67,0.0,0.635,0.421,0.569,0.151,104.149,0.8,0.635
Urango,0.18,0.583,0.0,0.486,0.335,0.506,0.026,72.894,0.8,0.486
adverso,0.173,0.699,0.0,0.825,0.431,0.36,0.055,99.77,1.0,0.825
tuyz,0.221,0.551,0.0,0.597,0.367,0.525,0.047,68.823,0.6,0.597
