player_name,agent_pick_rate,entry_attempts_per_round,deaths_first_20s,kd_by_site,duel_win_pct,headshot_pct,first_kill_rate,dmg_per_round,clutch_rate,post_plant_kd
OXY,0.18,0.468,0.0,0.878,0.364,0.321,0.129,83.879,0.643,0.878
Xeppaa,0.22,0.481,0.0,0.62,0.324,0.27,0.05,66.154,0.643,0.62
mitch,0.214,0.445,0.0,0.537,0.304,0.252,0.04,61.183,0.643,0.537
neT,0.194,0.405,0.0,0.565,0.303,0.322,0.046,54.102,0.571,0.565
v1c,0.225,0.427,0.0,0.834,0.338,0.341,0.06,62.089,0.571,0.834
