series_id,map,team_name,avg_round_duration,early_utility_rate,pistol_conv,site_hit_freq,trade_eff,total_rounds,series_duration
2775988,split,G2 Esports,117.16472727272728,0.3181818181818182,1.0,0.75,0.4364406779661017,66,11096.895
2775990,haven,G2 Esports,118.10110958904109,0.3835616438356164,1.0,0.7,0.4925925925925926,73,12056.881
2775992,lotus,G2 Esports,119.2495303030303,0.22727272727272727,0.0,0.7941176470588235,0.4566929133858268,66,11129.803
2775993,haven,G2 Esports,115.4392,0.30526315789473685,0.0,0.7755102040816326,0.48672566371681414,95,15670.514
2775994,haven,G2 Esports,116.60057777777777,0.25555555555555554,1.0,0.6888888888888889,0.4670846394984326,90,15604.417
2819681,corrode,G2 Esports,116.49177272727273,0.18181818181818182,1.0,0.7647058823529411,0.47465437788018433,66,11216.662
2819682,ascent,G2 Esports,128.1238717948718,0.10256410256410256,1.0,0.7777777777777778,0.42592592592592593,39,6816.33
2819692,corrode,G2 Esports,122.35817241379311,0.20689655172413793,1.0,0.7931034482758621,0.388646288209607,58,10279.739
2819698,corrode,G2 Esports,139.08403030303032,0.09090909090909091,1.0,0.875,0.3984375,33,6210.407
2819704,ascent,G2 Esports,124.79981395348837,0.16279069767441862,1.0,0.7727272727272727,0.4049079754601227,43,7411.555
2843061,sunset,G2 Esports,109.9316857142857,0.08571428571428572,0.0,0.8235294117647058,0.4161073825503356,35,5561.643
2843063,corrode,G2 Esports,102.85022388059701,0.08955223880597014,1.0,0.53125,0.36666666666666664,67,10373.439
2843068,bind,G2 Esports,124.52611627906975,0.046511627906976744,1.0,0.7619047619047619,0.4394904458598726,43,7880.217
2843071,bind,G2 Esports,111.47792647058823,0.16176470588235295,1.0,0.5757575757575758,0.3559322033898305,68,11153.205
