player_name,agent_pick_rate,entry_attempts_per_round,deaths_first_20s,kd_by_site,duel_win_pct,headshot_pct,first_kill_rate,dmg_per_round,clutch_rate,post_plant_kd
JAWGEMO,0.283,0.706,0.0,1.17,0.525,0.443,0.173,113.691,1.0,1.17
JonahP,0.306,0.707,0.0,1.041,0.511,0.42,0.086,97.472,1.0,1.041
leaf,0.132,0.384,0.0,0.588,0.271,0.21,0.07,59.537,0.5,0.588
trent,0.3,0.733,0.0,1.355,0.552,0.466,0.07,107.046,1.0,1.355
valyn,0.349,0.682,0.0,1.18,0.544,0.502,0.075,99.89,1.0,1.18
