player_name,agent_pick_rate,entry_attempts_per_round,deaths_first_20s,kd_by_site,duel_win_pct,headshot_pct,first_kill_rate,dmg_per_round,clutch_rate,post_plant_kd
C0M,0.194,0.645,0.0,0.957,0.479,0.429,0.053,91.933,1.0,0.957
Sato,0.286,0.697,0.0,1.248,0.532,0.572,0.18,122.144,1.0,1.248
kiNgg,0.317,0.682,0.0,1.248,0.502,0.487,0.077,101.02,0.875,1.248
okeanos,0.39,0.675,0.0,1.049,0.498,0.594,0.083,98.421,1.0,1.049
tex,0.211,0.619,0.0,0.849,0.45,0.526,0.09,82.462,0.875,0.849
